x,q1,q2,q3
0.544545,0.455766,0.557929,1.857829
0.545546,0.455766,0.557929,1.857829
0.546547,0.453469,0.555222,1.852376
0.547548,0.453469,0.555222,1.852376
0.548549,0.451176,0.552488,1.846910
0.549550,0.451176,0.552488,1.846910
0.550551,0.448888,0.549727,1.841431
0.551552,0.448888,0.549727,1.841431
0.552553,0.446603,0.546938,1.835938
0.553554,0.446603,0.546938,1.835938
0.554555,0.444322,0.544122,1.830430
0.555556,0.444322,0.544122,1.830430
0.556557,0.442045,0.541278,1.824907
0.557558,0.442045,0.541278,1.824907
0.558559,0.439771,0.538407,1.819368
0.559560,0.439771,0.538407,1.819368
0.560561,0.437500,0.535508,1.813814
0.561562,0.437500,0.535508,1.813814
0.562563,0.435232,0.532580,1.808244
0.563564,0.435232,0.532580,1.808244
0.564565,0.432966,0.529625,1.802656
0.565566,0.432966,0.529625,1.802656
0.566567,0.430703,0.526641,1.797051
0.567568,0.430703,0.526641,1.797051
0.568569,0.428441,0.523630,1.791428
0.569570,0.428441,0.523630,1.791428
0.570571,0.426182,0.520589,1.785787
0.571572,0.426182,0.520589,1.785787
0.572573,0.423924,0.517521,1.780127
0.573574,0.423924,0.517521,1.780127
0.574575,0.421668,0.514423,1.774447
0.575576,0.421668,0.514423,1.774447
0.576577,0.419413,0.511298,1.768748
0.577578,0.419413,0.511298,1.768748
0.578579,0.417159,0.508143,1.763029
0.579580,0.417159,0.508143,1.763029
0.580581,0.414906,0.504961,1.757289
0.581582,0.414906,0.504961,1.757289
0.582583,0.412653,0.501749,1.751528
0.583584,0.412653,0.501749,1.751528
0.584585,0.410401,0.498509,1.745745
0.585586,0.410401,0.498509,1.745745
0.586587,0.408148,0.495240,1.739940
0.587588,0.408148,0.495240,1.739940
0.588589,0.405896,0.491943,1.734113
0.589590,0.405896,0.491943,1.734113
0.590591,0.403644,0.488618,1.728264
0.591592,0.403644,0.488618,1.728264
0.592593,0.401391,0.485264,1.722391
0.593594,0.401391,0.485264,1.722391
0.594595,0.399137,0.481882,1.716495
0.595596,0.399137,0.481882,1.716495
0.596597,0.396882,0.478472,1.710574
0.597598,0.396882,0.478472,1.710574
0.598599,0.394627,0.475034,1.704630
0.599600,0.394627,0.475034,1.704630
0.600601,0.392370,0.471567,1.698661
0.601602,0.392370,0.471567,1.698661
0.602603,0.390113,0.468074,1.692668
0.603604,0.390113,0.468074,1.692668
0.604605,0.387853,0.464553,1.686649
0.605606,0.387853,0.464553,1.686649
0.606607,0.385592,0.461004,1.680605
0.607608,0.385592,0.461004,1.680605
0.608609,0.383330,0.457429,1.674536
0.609610,0.383330,0.457429,1.674536
0.610611,0.381065,0.453827,1.668441
0.611612,0.381065,0.453827,1.668441
0.612613,0.378799,0.450198,1.662320
0.613614,0.378799,0.450198,1.662320
0.614615,0.376530,0.446544,1.656173
0.615616,0.376530,0.446544,1.656173
0.616617,0.374259,0.442863,1.650000
0.617618,0.374259,0.442863,1.650000
0.618619,0.371986,0.439157,1.643800
0.619620,0.371986,0.439157,1.643800
0.620621,0.369711,0.435426,1.637575
0.621622,0.369711,0.435426,1.637575
0.622623,0.367433,0.431671,1.631322
0.623624,0.367433,0.431671,1.631322
0.624625,0.365152,0.427891,1.625044
0.625626,0.365152,0.427891,1.625044
0.626627,0.362869,0.424087,1.618739
0.627628,0.362869,0.424087,1.618739
0.628629,0.360584,0.420261,1.612407
0.629630,0.360584,0.420261,1.612407
0.630631,0.358296,0.416411,1.606050
0.631632,0.358296,0.416411,1.606050
0.632633,0.356006,0.412539,1.599666
0.633634,0.356006,0.412539,1.599666
0.634635,0.353712,0.408645,1.593256
0.635636,0.353712,0.408645,1.593256
0.636637,0.351417,0.404730,1.586820
0.637638,0.351417,0.404730,1.586820
0.638639,0.349119,0.400795,1.580359
0.639640,0.349119,0.400795,1.580359
0.640641,0.346818,0.396840,1.573872
0.641642,0.346818,0.396840,1.573872
0.642643,0.344515,0.392866,1.567360
0.643644,0.344515,0.392866,1.567360
0.644645,0.342209,0.388873,1.560824
0.645646,0.342209,0.388873,1.560824
0.646647,0.339902,0.384862,1.554263
0.647648,0.339902,0.384862,1.554263
0.648649,0.337592,0.380834,1.547678
0.649650,0.337592,0.380834,1.547678
0.650651,0.335280,0.376790,1.541069
0.651652,0.335280,0.376790,1.541069
0.652653,0.332966,0.372730,1.534438
0.653654,0.332966,0.372730,1.534438
0.654655,0.330650,0.368655,1.527783
0.655656,0.330650,0.368655,1.527783
0.656657,0.328333,0.364567,1.521107
0.657658,0.328333,0.364567,1.521107
0.658659,0.326015,0.360465,1.514409
0.659660,0.326015,0.360465,1.514409
0.660661,0.323695,0.356351,1.507691
0.661662,0.323695,0.356351,1.507691
0.662663,0.321374,0.352226,1.500952
0.663664,0.321374,0.352226,1.500952
0.664665,0.319052,0.348091,1.494194
0.665666,0.319052,0.348091,1.494194
0.666667,0.316729,0.343946,1.487418
0.667668,0.316729,0.343946,1.487418
0.668669,0.314406,0.339793,1.480623
0.669670,0.314406,0.339793,1.480623
0.670671,0.312083,0.335632,1.473811
0.671672,0.312083,0.335632,1.473811
0.672673,0.309760,0.331465,1.466984
0.673674,0.309760,0.331465,1.466984
0.674675,0.307438,0.327292,1.460141
0.675676,0.307438,0.327292,1.460141
0.676677,0.305116,0.323115,1.453283
0.677678,0.305116,0.323115,1.453283
0.678679,0.302795,0.318935,1.446413
0.679680,0.302795,0.318935,1.446413
0.680681,0.300476,0.314753,1.439530
0.681682,0.300476,0.314753,1.439530
0.682683,0.298158,0.310569,1.432636
0.683684,0.298158,0.310569,1.432636
0.684685,0.295842,0.306385,1.425731
0.685686,0.295842,0.306385,1.425731
0.686687,0.293528,0.302203,1.418818
0.687688,0.293528,0.302203,1.418818
0.688689,0.291218,0.298023,1.411897
0.689690,0.291218,0.298023,1.411897
0.690691,0.288910,0.293846,1.404970
0.691692,0.288910,0.293846,1.404970
0.692693,0.286606,0.289674,1.398037
0.693694,0.286606,0.289674,1.398037
0.694695,0.284306,0.285507,1.391100
0.695696,0.284306,0.285507,1.391100
0.696697,0.282010,0.281348,1.384161
0.697698,0.282010,0.281348,1.384161
0.698699,0.279719,0.277196,1.377220
0.699700,0.279719,0.277196,1.377220
0.700701,0.277433,0.273054,1.370279
0.701702,0.277433,0.273054,1.370279
0.702703,0.275153,0.268923,1.363340
0.703704,0.275153,0.268923,1.363340
0.704705,0.272878,0.264803,1.356404
0.705706,0.272878,0.264803,1.356404
0.706707,0.270611,0.260696,1.349472
0.707708,0.270611,0.260696,1.349472
0.708709,0.268350,0.256604,1.342545
0.709710,0.268350,0.256604,1.342545
0.710711,0.266097,0.252526,1.335627
0.711712,0.266097,0.252526,1.335627
0.712713,0.263851,0.248466,1.328717
0.713714,0.263851,0.248466,1.328717
0.714715,0.261614,0.244423,1.321818
0.715716,0.261614,0.244423,1.321818
0.716717,0.259386,0.240399,1.314931
