x,d,v,p,e
0.222222,0.309852,0.718230,0.174596,1.408701
0.232323,3841575537.288742,4.655687,397606032.964245,0.258752
0.242424,-81178730927.960083,4.882824,-8673525996.068407,0.267112
0.252525,0.329488,0.737938,0.185561,1.407949
0.262626,82767746357.006775,4.882496,8924041761.224705,0.269551
0.272727,-1649408128291.023926,5.080863,-182065112164.628082,0.275955
0.282828,0.362588,0.719500,0.218366,1.505607
0.292929,1675245148601.698486,5.080610,186251894398.726532,0.277947
0.303030,-65672372902154.851562,5.380222,-7245594982963.998047,0.275824
0.313131,0.353645,0.769114,0.202490,1.431452
0.323232,66523594810144.437500,5.380031,7383035499230.398438,0.277459
0.333333,-1178278742507722.500000,5.498932,-129812124359611.968750,0.275427
0.343434,0.344899,0.726864,0.208961,1.514652
0.353535,1190983212685771.500000,5.498780,131852749525339.968750,0.276773
0.363636,-3880295699130593.500000,5.491029,-464784990368435.125000,0.299452
0.373737,0.402318,0.773321,0.241126,1.498358
0.383838,3915342708645021.500000,5.490891,470882040333619.125000,0.300665
0.393939,-59515174433608032.000000,5.486284,-6648583889020619.000000,0.279281
0.404040,0.332674,1.116773,0.166585,1.251859
0.414141,59972109411735808.000000,5.486175,6722481622711448.000000,0.280234
0.424242,728.036199,-9.533227,-688853.933814,-2365.452207
0.434343,-0.000000,26.374510,0.000000,-0.000005
0.444444,-0.000001,10.577251,0.000000,-0.210843
0.454545,-0.000082,7.128350,0.000013,-0.408685
0.464646,-0.001047,5.427174,0.000073,-0.174944
0.474747,-0.003211,4.800062,-0.000096,0.074484
0.484848,-0.001673,5.620790,0.000050,-0.074581
0.494949,-0.001253,6.282586,0.000056,-0.112018
0.505051,-0.048062,2.945569,-0.360632,18.758887
0.515152,-0.017502,5.030920,-0.004548,0.649612
0.525253,-0.041908,4.913214,-0.011227,0.669723
0.535354,-0.091463,4.784998,-0.031388,0.857934
0.545455,-0.099904,5.273233,-0.031375,0.785136
0.555556,-0.066942,5.913820,-0.019585,0.731437
0.565657,-0.191104,5.753981,-0.044278,0.579236
0.575758,-0.241841,6.305795,-0.062060,0.641533
0.585859,-0.213622,6.708035,-0.082458,0.965001
0.595960,-0.248027,7.206504,-0.067395,0.679305
0.606061,-0.700223,7.404572,-0.132213,0.472038
0.616162,-1.016673,7.815734,-0.314797,0.774086
0.626263,-1.586272,8.107064,-0.482715,0.760769
0.636364,-1.746935,8.653607,-0.732031,1.047593
0.646465,-2.021364,9.782976,-0.496813,0.614453
0.656566,-3.524166,11.674453,-1.162734,0.824829
0.666667,-10.037266,11.536622,-3.062970,0.762900
0.676768,-48.556840,11.324832,-14.791268,0.761544
0.686869,-136.252238,12.099737,-36.566802,0.670939
0.696970,-267.829058,12.705485,-64.860391,0.605427
0.707071,-766.568442,12.985338,-179.157954,0.584286
0.717172,-1568.251752,13.335405,-349.855988,0.557717
0.727273,-14662.521214,12.650179,-3251.223691,0.554343
0.737374,-39619.318608,13.566477,-8387.596986,0.529262
0.747475,-76807.501102,14.328148,-15028.891173,0.489174
0.757576,-274206.667190,14.445692,-53442.201563,0.487244
0.767677,-627789.292550,14.797658,-119328.122805,0.475192
0.777778,-2158458.114494,15.111606,-398481.593984,0.461535
0.787879,-1086.517987,26.849611,75.366714,-0.173413
0.797980,-3454.975298,29.211030,36.421124,-0.026354
0.808081,-1267036.522671,21.594921,-313695.792203,0.618956
0.818182,-6070188.537379,22.143381,-1379564.497903,0.568172
0.828283,-18830788.853906,22.668894,-4204518.597351,0.558197
0.838384,-220570365.030291,23.116344,-37739596.168314,0.427750
0.848485,-1303775158.225306,23.970603,-224644739.084888,0.430758
0.858586,-4736375936.322872,24.646344,-810291378.607422,0.427696
0.868687,-26514364313.692924,25.127562,-4528536194.226562,0.426989
0.878788,-98660505966.828506,25.594042,-16070490025.779684,0.407217
0.888889,-587737955899.506226,26.074935,-91423128761.512482,0.388877
0.898990,-2035981950458.412354,26.658010,-297333857149.799927,0.365099
0.909091,-45250255378025.562500,25.965425,-7476327522241.598633,0.413054
0.919192,-296578073971963.625000,27.110429,-43588972384108.789062,0.367433
0.929293,-1235916811392594.250000,27.874388,-167695246249215.968750,0.339212
0.939394,-8078602214620348.000000,28.365975,-1056331483646566.125000,0.326892
0.949495,-36474332552014256.000000,28.616519,-4817255689120972.000000,0.330181
0.959596,-263194387509712736.000000,28.905329,-34799803533590520.000000,0.330552
0.969697,-1112382503910656000.000000,29.264915,-145237898712081984.000000,0.326412
0.979798,-11355224144110672871601360897599188744555300468967610422557923182370384722498241430996114787515178264764651830774418164053899892053757348820112840839986531951928410112.000000,2052.154860,nan,nan
0.989899,-102052833953809939424916046325029924515062480340328831397410020235865306415568798585517440523559822102614507640724865944726451535777568278084753534586092921309324378112.000000,1736.965822,nan,nan
1.000000,-208811449665236886664793163265480133647468524537240611317229500715095666385823046462665303803332581465964604711323619619853574268980406860742207227898758349257757949952.000000,1356.131258,nan,nan
